price,city,name
"
  9 999 руб.        ",Владикавказ,"
 Новые iPhone 5S-16Gb/6-64Gb/6S-64Gb
 "
"
  9 999 руб.        ",Владикавказ,"
 Новый iPhone 5S-16GB/6-64GB/6S-64GB
 "
"
  15 990 руб.        ",Владикавказ,"
 iPhone 6 6s новые
 "
"
  7 000 руб.        ",Владикавказ,"
 Продам Айфон 5
 "
"
  12 000 руб.        ",Владикавказ,"
 Айфон 5S
 "
"
  7 500 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  21 000 руб.        ",Моздок,"
 iPhone 6s
 "
"
  17 500 руб.        ",Моздок,"
 iPhone 6 Gold 16 gb
 "
"
  ",Владикавказ,"
 iPhone 5s
 "
"
  25 000 руб.        ",Владикавказ,"
 Телефон
 "
"
  15 000 руб.        ",Владикавказ,"
 IPhone5s 64 г
 "
"
  3 000 руб.        ",Владикавказ,"
 Айфон 4s
 "
"
  2 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  1 000 руб.        ",Владикавказ,"
 iPhone 4s
 "
"
  17 000 руб.        ",Владикавказ,"
 iPhone 6s 16gb розовый
 "
"
  12 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  22 000 руб.        ",Владикавказ,"
 iPhone 6s 16gb
 "
"
  13 500 руб.        ",Владикавказ,"
 iPhone 5se grey 64GB
 "
"
  5 500 руб.        ",Владикавказ,"
 iPhone
 "
"
  28 990 руб.        ",Владикавказ,"
 iPhone 7 32gb
 "
"
  15 000 руб.        ",Владикавказ,"
 iPhone 6 64gb
 "
"
  18 000 руб.        ",Владикавказ,"
 iPhone se 64 gb
 "
"
  9 000 руб.        ",Владикавказ,"
 5s ориг.без единой царапины и дефекта
 "
"
  2 500 руб.        ",Владикавказ,"
 5 белый 16гб
 "
"
  8 900 руб.        ",Владикавказ,"
 Сотовый телефон iPhone 5s 16Gb
 "
"
  24 000 руб.        ",Владикавказ,"
 Два телефона 5S 32gb и 4S 16gb
 "
"
  13 500 руб.        ",Владикавказ,"
 iPhone 5se 64 Giga
 "
"
  18 990 руб.        ",Владикавказ,"
 Новые iPhone 6-64GB/6S-64GB
 "
"
  11 000 руб.        ",Владикавказ,"
 iPhone 6 16 гиг
 "
"
  8 000 руб.        ",Владикавказ,"
 iPhone 5.черный
 "
"
  52 000 руб.        ",Чермен,"
 Продаю iPhone 8+ (Плюс)
 "
"
  29 000 руб.        ",Владикавказ,"
 iPhone 6S 128 Gb
 "
"
  3 000 руб.        ",Владикавказ,"
 iPhone 5 16
 "
"
  35 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  45 990 руб.        ",Владикавказ,"
 iPhone 7 128 Гб Gold
 "
"
  31 900 руб.        ",Владикавказ,"
 iPhone 6S 32 Гб Gold
 "
"
  7 000 руб.        ",Владикавказ,"
 iPhone 5, в идеальном состоянии
 "
"
  30 000 руб.        ",Владикавказ,"
 iPhone 7 128gb
 "
"
  36 000 руб.        ",Владикавказ,"
 iPhone 7 128g
 "
"
  26 000 руб.        ",Владикавказ,"
 iPhone 6s
 "
"
  5 500 руб.        ",Владикавказ,"
 iPhone 6
 "
"
  4 000 руб.        ",Владикавказ,"
 iPhone 4S
 "
"
  14 000 руб.        ",Владикавказ,"
 iPhone se
 "
"
  17 000 руб.        ",Владикавказ,"
 iPhone 6s 32
 "
"
  12 500 руб.        ",Владикавказ,"
 iPhone
 "
"
  18 000 руб.        ",Владикавказ,"
 Телефон
 "
"
  18 000 руб.        ",Владикавказ,"
 iPhone se 32g
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone 5S 16 Gb
 "
"
  45 990 руб.        ",Владикавказ,"
 iPhone 7 128 Гб черный
 "
"
  6 000 руб.        ",Моздок,"
 iPhone 5S
 "
"
  42 000 руб.        ",Владикавказ,"
 iPhone 8 gold 64gb совсем новый золотой
 "
"
  12 000 руб.        ",Владикавказ,"
 iPhone 6
 "
"
  14 000 руб.        ",Владикавказ,"
 iPhone SE 32 gb
 "
"
  15 500 руб.        ",Владикавказ,"
 Телефон
 "
"
  15 000 руб.        ",Владикавказ,"
 iPhone 5SE 16 gb
 "
"
  37 000 руб.        ",Владикавказ,"
 iPhone 7 Plus 32 Gb
 "
"
  45 900 руб.        ",Владикавказ,"
 iPhone 8 64 гб новый куплен сегодня В МТС
 "
"
  7 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  11 000 руб.        ",Владикавказ,"
 iPhone 5s gold 16gb
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone 5s 16g
 "
"
  44 000 руб.        ",Владикавказ,"
 iPhone 8 64gb абсолютно новый с чеком чёрный
 "
"
  17 000 руб.        ",Владикавказ,"
 iPhone 6s 16gb оригинал
 "
"
  3 000 руб.        ",Беслан,"
 iPhone 4
 "
"
  22 000 руб.   ",Моздок,"
 iPhone
 "
"
  8 000 руб.        ",Моздок,"
 Айфон 5S
 "
"
  11 500 руб.        ",Владикавказ,"
 iPhone 5s 16гб
 "
"
  3 500 руб.        ",Владикавказ,"
 iPhone 5s 16gb 2015 г
 "
"
  9 000 руб.        ",Моздок,"
 iPhone 5s
 "
"
  8 500 руб.        ",Владикавказ,"
 iPhone 5
 "
"
  17 000 руб.        ",Беслан,"
 iPhone 6 16 гб серебро
 "
"
  7 000 руб.        ",Владикавказ,"
 Aйфон 5s
 "
"
  55 000 руб.        ",Владикавказ,"
 iPhone 7 + Apple Watch 2 42mm
 "
"
  15 500 руб.        ",Владикавказ,"
 iPhone
 "
"
  14 700 руб.        ",Владикавказ,"
 iPhone 6 64 гб
 "
"
  15 990 руб.        ",Владикавказ,"
 iPhone 6 6s новые
 "
"
  11 500 руб.        ",Владикавказ,"
 iPhone rose gold 16gb
 "
"
  15 800 руб.        ",Владикавказ,"
 iPhone 6
 "
"
  20 800 руб.        ",Владикавказ,"
 Apple iPhone 6 32gb оригинал
 "
"
  8 500 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  24 000 руб.        ",Владикавказ,"
 iPhone 6s
 "
"
  21 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  6 500 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  1 000 руб.        ",Владикавказ,"
 Запчасти айфон 5s
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone 5 s, 16 g
 "
"
  5 000 руб.        ",Моздок,"
 iPhone 5
 "
"
  7 000 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  7 500 руб.        ",Владикавказ,"
 5s 32 gold
 "
"
  4 000 руб.        ",Владикавказ,"
 Айфон 4s 8gb
 "
"
  10 500 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  5 000 руб.        ",Владикавказ,"
 iPhone 4
 "
"
  30 000 руб.        ",Владикавказ,"
 iPhone 7
 "
"
  15 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  7 500 руб.        ",Владикавказ,"
 iPhone
 "
"
  10 400 руб.        ",Владикавказ,"
 iPhone 5S 16gb
 "
"
  12 000 руб.        ",Владикавказ,"
 Разобранный айфон 6 на 16 гб на iOS 9
 "
"
  17 000 руб.        ",Моздок,"
 iPhone 6
 "
"
  7 000 руб.        ",Владикавказ,"
 Айфон 5s
 "
"
  20 000 руб.        ",Алагир,"
 iPhone 5se 64 gb
 "
"
  32 500 руб.        ",Моздок,"
 iPhone 6s Plus
 "
"
  21 900 руб.        ",Владикавказ,"
 iPhone 6S 32gb
 "
"
  30 000 руб.        ",Владикавказ,"
 iPhone 7 32гб
 "
"
  9 900 руб.        ",Владикавказ,"
 Apple iPhone 5S black 4G LTE 16GB
 "
"
  3 000 руб.        ",Владикавказ,"
 iPhone 4
 "
"
  6 500 руб.        ",Владикавказ,"
 iPhone
 "
"
  26 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  2 000 руб.        ",Владикавказ,"
 iPhone 5s на запчасти заблокирован icloud
 "
"
  21 000 руб.        ",Владикавказ,"
 iPhone SE 128
 "
"
  3 000 руб.        ",Владикавказ,"
 iPhone 4 16GB
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone SE 64GB
 "
"
  6 500 руб.        ",Моздок,"
 IPhone5
 "
"
  9 000 руб.        ",Владикавказ,"
 iPhone 4/4S/5/5S/6/6S-16g/32g/64g Подарки/Гарантия
 "
"
  10 000 руб.        ",Беслан,"
 iPhone 5s
 "
"
  10 500 руб.        ",Владикавказ,"
 iPhone 5S 16GB 4G LTE
 "
"
  8 000 руб.        ",Владикавказ,"
 iPhone 5 s
 "
"
  46 500 руб.        ",Владикавказ,"
 iPhone 8 64
 "
"
  3 000 руб.        ",Владикавказ,"
 Айфон 5s на запчасти
 "
"
  5 500 руб.        ",Владикавказ,"
 iPhone
 "
"
  4 000 руб.        ",Владикавказ,"
 iPhone 4
 "
"
  18 400 руб.        ",Владикавказ,"
 iPhone 6 32Gb
 "
"
  25 990 руб.        ",Владикавказ,"
 iPhone 6S 32Gb
 "
"
  11 500 руб.        ",Владикавказ,"
 iPhone 5s, Silver, 16GB
 "
"
  32 000 руб.        ",Беслан,"
 iPhone 7 128gb
 "
"
  41 000 руб.        ",Владикавказ,"
 iPhone 8 64gb
 "
"
  20 000 руб.        ",Владикавказ,"
 iPhone SE gold 64gb
 "
"
  5 000 руб.        ",Моздок,"
 iPhone 4s
 "
"
  2 000 руб.        ",Моздок,"
 iPhone 5s на запчасти
 "
"
  30 000 руб.        ",Беслан,"
 iPhone
 "
"
  32 000 руб.        ",Моздок,"
 iPhone 7
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  13 000 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  25 000 руб.        ",Владикавказ,"
 Продам iPhone 6s
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  32 000 руб.        ",Владикавказ,"
 iPhone 7
 "
"
  31 000 руб.        ",Владикавказ,"
 iPhone 7
 "
"
  38 000 руб.        ",Владикавказ,"
 iPhone 7 Plus 128gb
 "
"
  9 000 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  20 000 руб.        ",Владикавказ,"
 iPhone 6s
 "
"
  8 500 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  39 990 руб.        ",Владикавказ,"
 iPhone 7 Plus 128gb с чеком месяц
 "
"
  35 000 руб.        ",Владикавказ,"
 iPhone 7plus 32gb
 "
"
  30 000 руб.        ",Владикавказ,"
 IPhone7 -128 Г
 "
"
  3 500 руб.   ",Владикавказ,"
 4s
 "
"
  6 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  12 500 руб.        ",Моздок,"
 Айфон 5s
 "
"
  6 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  5 000 руб.        ",Алагир,"
 iPhone
 "
"
  25 000 руб.        ",Владикавказ,"
 iPhone 6
 "
"
  10 500 руб.        ",Владикавказ,"
 iPhone
 "
"
  8 000 руб.        ",Владикавказ,"
 iPhone 5s 16 gb
 "
"
  10 000 руб.        ",Эльхотово,"
 iPhone 5s
 "
"
  32 000 руб.        ",Владикавказ,"
 Apple iPhone 6s 128гб
 "
"
  11 500 руб.        ",Моздок,"
 iPhone 5s
 "
"
  10 000 руб.        ",Владикавказ,"
 Айфон 5s
 "
"
  32 000 руб.        ",Владикавказ,"
 iPhone 7
 "
"
  6 000 руб.   ",Владикавказ,"
 iPhone 5s
 "
"
  9 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  19 000 руб.        ",Владикавказ,"
 iPhone 6
 "
"
  16 000 руб.        ",Владикавказ,"
 iPhone 6+
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone 5s 16g
 "
"
  33 000 руб.        ",Владикавказ,"
 iPhone 7 128
 "
"
  10 000 руб.        ",Владикавказ,"
 Айфон 5 s
 "
"
  21 000 руб.        ",Владикавказ,"
 iPhone SE 64гб Space grey
 "
"
  10 000 руб.        ",Владикавказ,"
 Продам телефон iPhone 5s
 "
"
  55 000 руб.        ",Владикавказ,"
 iPhone 8 256 g новый
 "
"
  ",Владикавказ,"
 iPhone
 "
"
  10 500 руб.        ",Владикавказ,"
 Айфон5s
 "
"
  23 000 руб.        ",Владикавказ,"
 iPhone 6 s плюс 16 гиг
 "
"
  3 200 руб.        ",Владикавказ,"
 iPhone
 "
"
  11 900 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  500 руб.        ",Владикавказ,"
 Айфон 5s
 "
"
  9 000 руб.        ",Владикавказ,"
 Айфон 5s 32gb
 "
"
  5 500 руб.        ",Владикавказ,"
 iPhone 4s
 "
"
  300 руб.        ",Владикавказ,"
 Коробка от iPhone 5s
 "
"
  40 000 руб.        ",Владикавказ,"
 Новый iPhone 7 Plus 128gb комплект полный с чеком
 "
"
  21 000 руб.        ",Владикавказ,"
 Продаю iPhone 6. 32 гб
 "
"
  8 000 руб.   ",Владикавказ,"
 iPhone 6s 16g
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  3 500 руб.        ",Моздок,"
 Айфон 4
 "
"
  20 000 руб.        ",Владикавказ,"
 iPhone SE 64Gb Розовое Золото
 "
"
  12 345 руб.        ",Владикавказ,"
 iPhone 7+
 "
"
  45 000 руб.        ",Владикавказ,"
 iPhone 7plus
 "
"
  3 000 руб.        ",Владикавказ,"
 iPhone 6
 "
"
  24 000 руб.        ",Владикавказ,"
 iPhone se128g
 "
"
  7 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  15 000 руб.        ",Владикавказ,"
 iPhone SE
 "
"
  37 000 руб.        ",Владикавказ,"
 Продаю айфон 7 плюс
 "
"
  8 500 руб.        ",Владикавказ,"
 iPhone 5s grey
 "
"
  7 000 руб.        ",Владикавказ,"
 iPhone 5s 16gb
 "
"
  6 500 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  5 000 руб.        ",Владикавказ,"
 iPhone 4 s
 "
"
  6 500 руб.        ",Беслан,"
 IPhone5s
 "
"
  11 000 руб.        ",Моздок,"
 iPhone
 "
"
  37 990 руб.        ",Владикавказ,"
 Айфоны Apple iPhone 6 / 6s/ 6s+/ 7 / 7+/ 8 / 8+/X
 "
"
  15 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  15 000 руб.        ",Моздок,"
 iPhone 6
 "
"
  45 000 руб.        ",Владикавказ,"
 Телефон iPhone 7
 "
"
  4 000 руб.        ",Эльхотово,"
 Айфон
 "
"
  43 000 руб.        ",Владикавказ,"
 iPhone 8 белый 64 гиг
 "
"
  8 000 руб.        ",Владикавказ,"
 Продам айфон 5 S на фото все видно
 "
"
  25 000 руб.        ",Владикавказ,"
 iPhone 6s 32GB
 "
"
  12 000 руб.        ",Владикавказ,"
 iPhone 5se 16
 "
"
  17 000 руб.        ",Моздок,"
 iPhone 6 16gb
 "
"
  25 000 руб.        ",Владикавказ,"
 iPhone 6S 64 GB Space Gray
 "
"
  7 000 руб.        ",Владикавказ,"
 Обмен телефону 1месяц
 "
"
  21 000 руб.        ",Владикавказ,"
 Apple iPhone 6s 64GB (серый космос)
 "
"
  14 500 руб.        ",Владикавказ,"
 iPhone 6 plus 64 Gb
 "
"
  34 500 руб.        ",Владикавказ,"
 Оригинальный iPhone 6S 64GB С гарантией черный
 "
"
  7 000 руб.        ",Моздок,"
 iPhone
 "
"
  4 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  23 000 руб.        ",Владикавказ,"
 Айфон 6s 64g
 "
"
  4 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  17 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  8 000 руб.        ",Владикавказ,"
 iPhone 5c
 "
"
  31 000 руб.        ",Владикавказ,"
 iPhone 7 32gb gold абсолютно новый
 "
"
  30 000 руб.        ",Моздок,"
 iPhone 7
 "
"
  37 000 руб.        ",Владикавказ,"
 iPhone 7plus 128 gb
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  3 500 руб.        ",Архонская,"
 iPhone 5c
 "
"
  7 000 руб.        ",Владикавказ,"
 iPhone 5
 "
"
  10 500 руб.        ",Владикавказ,"
 iPhone
 "
"
  3 000 руб.        ",Моздок,"
 iPhone 4s
 "
"
  19 000 руб.        ",Моздок,"
 iPhone se
 "
"
  16 500 руб.        ",Моздок,"
 iPhone 6
 "
"
  900 руб.        ",Владикавказ,"
 iPhone ремонт
 "
"
  3 500 руб.        ",Павлодольская,"
 iPhone
 "
"
  18 000 руб.        ",Беслан,"
 Айфон 6 в отличном состоянии ни царапин ничего
 "
"
  8 000 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  10 000 руб.        ",Моздок,"
 iPhone 5 s
 "
"
  40 000 руб.        ",Владикавказ,"
 iPhone 7
 "
"
  10 000 руб.        ",Владикавказ,"
 Яблоки на новый год iPhone 4s/5/5s/6/6s/7
 "
"
  8 000 руб.        ",Владикавказ,"
 iPhone 6s
 "
"
  8 000 руб.        ",Владикавказ,"
 iPhone 5
 "
"
  10 000 руб.        ",Владикавказ,"
 Прадаеться телефон
 "
"
  33 000 руб.        ",Моздок,"
 iPhone 6+,5s
 "
"
  17 000 руб.        ",Владикавказ,"
 Айфон 6s
 "
"
  9 000 руб.        ",Моздок,"
 iPhone 5s
 "
"
  18 000 руб.        ",Моздок,"
 iPhone 6, 16 гиг
 "
"
  18 000 руб.        ",Владикавказ,"
 iPhone 6
 "
"
  14 999 руб.        ",Владикавказ,"
 iPhone 5se 64gb на гарантии
 "
"
  4 000 руб.        ",Владикавказ,"
 Продам айфон 4 s
 "
"
  ",Владикавказ,"
 iPhone 7
 "
"
  8 500 руб.        ",Владикавказ,"
 iPhone 5 iOS 6.1,4
 "
"
  12 000 руб.        ",Владикавказ,"
 Айфон 5s
 "
"
  ",Моздок,"
 IPhone4s 8gb
 "
"
  10 000 руб.        ",Владикавказ,"
 Новогодние iPhone 4/5/6/7
 "
"
  18 000 руб.        ",Моздок,"
 IPhone5s 16 гб
 "
"
  9 500 руб.        ",Владикавказ,"
 iPhone
 "
"
  43 000 руб.        ",Владикавказ,"
 iPhone 8
 "
"
  7 500 руб.        ",Владикавказ,"
 Айфон 5s
 "
"
  20 000 руб.        ",Владикавказ,"
 Продам iPhone 6+ 16GB в отличном состоянии
 "
"
  12 000 руб.        ",Владикавказ,"
 iPhone 5se 16
 "
"
  37 000 руб.        ",Владикавказ,"
 Айфон 7
 "
"
  16 500 руб.        ",Беслан,"
 iPhone
 "
"
  18 500 руб.        ",Владикавказ,"
 iPhone 6s 16g цвет роз голд
 "
"
  33 000 руб.        ",Моздок,"
 iPhone 7
 "
"
  10 000 руб.        ",Моздок,"
 Айфон 5s 16г в идеальном состоянии
 "
"
  30 000 руб.        ",Ардон,"
 iPhone 6 +
 "
"
  11 500 руб.        ",Владикавказ,"
 iPhone 6
 "
"
  6 000 руб.        ",Владикавказ,"
 Телефон
 "
"
  12 000 руб.        ",Владикавказ,"
 iPhone 6
 "
"
  12 500 руб.        ",Владикавказ,"
 iPhone SE
 "
"
  6 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  28 000 руб.        ",Владикавказ,"
 IPhones
 "
"
  14 500 руб.        ",Владикавказ,"
 iPhone 5se 64 оригинал
 "
"
  40 000 руб.        ",Ардон,"
 iPhone
 "
"
  36 000 руб.        ",Владикавказ,"
 iPhone 7 (128gb)
 "
"
  6 500 руб.        ",Владикавказ,"
 IPhones 5
 "
"
  10 000 руб.        ",Владикавказ,"
 Телефон
 "
"
  14 500 руб.        ",Владикавказ,"
 iPhone se
 "
"
  33 000 руб.        ",Владикавказ,"
 iPhone 6s 32g
 "
"
  16 000 руб.        ",Моздок,"
 iPhone 6 16 гб
 "
"
  10 000 руб.        ",Моздок,"
 iPhone 5s
 "
"
  14 354 руб.        ",Владикавказ,"
 iPhone 5se 64
 "
"
  7 500 руб.        ",Владикавказ,"
 iPhone 5S 16Gb
 "
"
  19 500 руб.        ",Моздок,"
 iPhone 6
 "
"
  ",Владикавказ,"
 iPhone se 32g
 "
"
  7 000 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  9 000 руб.        ",Чикола,"
 iPhone
 "
"
  9 000 руб.        ",Моздок,"
 iPhone
 "
"
  ",Владикавказ,"
 Обмен айфон 5s чёрный работает отлично меняю на Са
 "
"
  30 000 руб.        ",Владикавказ,"
 IPhone7
 "
"
  ",Владикавказ,"
 iPhone 5s 16g обмен
 "
"
  17 000 руб.        ",Владикавказ,"
 iPhone 5 se gold 16 gig
 "
"
  17 000 руб.        ",Владикавказ,"
 iPhone SE 64гб
 "
"
  9 000 руб.        ",Владикавказ,"
 Продам Айфон 4s
 "
"
  5 500 руб.        ",Владикавказ,"
 iPhone 5 16g
 "
"
  5 000 руб.        ",Владикавказ,"
 iPhone 4s 8 гиг
 "
"
  35 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  5 000 руб.   ",Владикавказ,"
 Айфон 5s
 "
"
  38 000 руб.        ",Владикавказ,"
 iPhone 7 plus 32gb
 "
"
  6 000 руб.        ",Владикавказ,"
 Айфон 5
 "
"
  46 000 руб.        ",Владикавказ,"
 iPhone 8
 "
"
  29 400 руб.        ",Владикавказ,"
 Айфон 7 + 128 гб
 "
"
  15 000 руб.        ",Владикавказ,"
 iPhone 6 gold
 "
"
  9 000 руб.        ",Владикавказ,"
 iPhone 5 s 4G + Lte
 "
"
  6 300 руб.        ",Владикавказ,"
 Продаю iPhone 5s все вопросы в личку, без торга
 "
"
  11 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  25 500 руб.        ",Владикавказ,"
 iPhone 6s+ 64 gig
 "
"
  36 000 руб.        ",Владикавказ,"
 iPhone 8 gold 64gb идеальный новый
 "
"
  20 000 руб.        ",Моздок,"
 iPhone 6s
 "
"
  7 000 руб.        ",Ардон,"
 iPhone 5s
 "
"
  26 000 руб.        ",Беслан,"
 IPhone7 128 g
 "
"
  31 000 руб.        ",Владикавказ,"
 iPhone 7 32gb абсолютно новый с гарантией
 "
"
  35 000 руб.        ",Владикавказ,"
 iPhone 7, 256gb
 "
"
  36 000 руб.        ",Владикавказ,"
 Айфон 7
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone 5s 64gb
 "
"
  34 000 руб.        ",Владикавказ,"
 iPhone 6s
 "
"
  20 000 руб.        ",Владикавказ,"
 Аифон 6s16 г
 "
"
  26 000 руб.        ",Владикавказ,"
 IPhone6plus 64gb
 "
"
  12 000 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  7 500 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  24 000 руб.        ",Владикавказ,"
 iPhone 6s+
 "
"
  10 000 руб.        ",Владикавказ,"
 IPhone5s в хорошем состояние. Коробка, зарядка
 "
"
  15 700 руб.        ",Беслан,"
 iPhone
 "
"
  17 500 руб.        ",Владикавказ,"
 iPhone 6s 64
 "
"
  18 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  ",Владикавказ,"
 iPhone
 "
"
  40 000 руб.        ",Владикавказ,"
 iPhone 7+
 "
"
  25 000 руб.        ",Владикавказ,"
 iPhone 6s 32g
 "
"
  25 000 руб.        ",Беслан,"
 Айфон 6s розовый 64 гиг
 "
"
  2 000 руб.        ",Владикавказ,"
 iPhone наушники
 "
"
  19 900 руб.        ",Владикавказ,"
 iPhone 6S 32GB rose gold
 "
"
  25 000 руб.        ",Моздок,"
 iPhone 6s 64gb Gold
 "
"
  10 500 руб.        ",Моздок,"
 iPhone
 "
"
  9 000 руб.        ",Владикавказ,"
 iPhone
 "
"
  37 900 руб.        ",Владикавказ,"
 iPhone 7 красный
 "
"
  32 900 руб.        ",Владикавказ,"
 iPhone
 "
"
  28 000 руб.        ",Владикавказ,"
 iPhone 7 32 gb
 "
"
  5 000 руб.        ",Владикавказ,"
 Айфон
 "
"
  5 000 руб.        ",Моздок,"
 Айфон 4s 8gb
 "
"
  13 000 руб.   ",Моздок,"
 iPhone
 "
"
  12 500 руб.        ",Владикавказ,"
 iPhone
 "
"
  30 000 руб.        ",Владикавказ,"
 Телефон айфон6s32gb куплен 5дней назад,год гаранти
 "
"
  20 000 руб.        ",Владикавказ,"
 iPhone 6 64г
 "
"
  18 000 руб.        ",Моздок,"
 iPhone 5s/6/6s/SE/7/8/X 10(гарантия)
 "
"
  8 000 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  9 000 руб.        ",Владикавказ,"
 iPhone 5s обмен
 "
"
  23 000 руб.        ",Владикавказ,"
 iPhone 6s
 "
"
  18 000 руб.        ",Владикавказ,"
 iPhone 6
 "
"
  7 500 руб.        ",Владикавказ,"
 iPhone 5s
 "
"
  3 000 руб.        ",Владикавказ,"
 iPhone 5S
 "
"
  45 000 руб.        ",Владикавказ,"
 iPhone 8
 "
"
  10 000 руб.        ",Владикавказ,"
 iPhone 5s 16gb
 "
"
  21 500 руб.        ",Владикавказ,"
 iPhone
 "
"
  14 000 руб.        ",Владикавказ,"
 iPhone 6 16 гб
 "
"
  52 900 руб.        ",Владикавказ,"
 iPhone 8 plus space gray (64 gb)
 "
"
  7 000 руб.        ",Владикавказ,"
 Айфон 5s 16 g
 "
"
  35 000 руб.        ",Владикавказ,"
 iPhone 7 128g
 "
"
  5 300 руб.        ",Владикавказ,"
 iPhone 4 (32 гб)
 "
"
  9 500 руб.        ",Моздок,"
 iPhone 5s
 "
"
  12 000 руб.        ",Владикавказ,"
 Оригинал Apple iPhone 5S 16GB
 "
"
  13 000 руб.        ",Владикавказ,"
 IPhone5se
 "
"
  3 000 руб.        ",Владикавказ,"
 iPhone 5S 32Гб
 "
"
  17 000 руб.        ",Владикавказ,"
 iPhone 6s
 "
"
  23 000 руб.        ",Беслан,"
 iPhone 5se 32g
 "
"
  35 000 руб.        ",Владикавказ,"
 iPhone 7 128 G
 "
"
  7 000 руб.        ",Владикавказ,"
 iPhone 5
 "
"
  29 000 руб.        ",Владикавказ,"
 iPhone 7
 "
"
  8 000 руб.        ",Владикавказ,"
 iPhone 5S 16GB
 "
"
  2 000 руб.        ",Владикавказ,"
 Айфон 5s
 "
"
  18 000 руб.        ",Владикавказ,"
 iPhone 6 gold 64gb
 "
